Datetime,mem
15:54.3,4904
16:24.4,4905
16:54.3,4904
17:24.4,4905
17:54.3,4904
18:24.4,4905
18:54.3,4905
19:24.4,4906
19:54.3,4905
20:24.4,4906
20:54.3,4905
21:24.4,4905
21:54.4,4905
22:24.4,4905
22:54.4,4905
23:24.4,4905
23:54.4,4905
24:24.4,4904
24:54.4,4903
25:24.4,4903
25:54.4,4904
26:24.4,4905
26:54.4,4904
27:24.4,4904
27:54.4,4903
28:24.4,4904
28:54.4,4904
29:24.4,4904
29:54.4,4903
30:24.4,4903
30:54.4,4904
31:24.4,4904
31:54.4,4904
32:24.4,4904
32:54.4,4902
33:24.4,4905
33:54.4,4902
34:24.4,4904
34:54.4,4901
35:24.4,4904
35:54.4,4905
36:24.4,4905
36:54.4,4904
37:24.4,4904
37:54.4,4904
38:24.4,4903
38:54.4,4904
39:24.4,4903
39:54.4,4904
40:24.4,4903
40:54.4,4903
41:24.4,4903
41:54.4,4903
42:24.4,4902
42:54.4,4903
43:24.4,4902
43:54.4,4902
44:24.4,4902
44:54.4,4903
45:24.4,4902
45:54.4,4903
46:24.4,4903
46:54.4,4903
47:24.4,4904
47:54.4,4903
48:24.4,4902
48:54.4,4904
49:24.4,4904
49:54.4,4904
50:24.4,4903
50:54.4,4904
51:24.4,4904
51:54.4,4904
52:24.4,4904
52:54.4,4904
53:24.4,4903
53:54.4,4903
54:24.4,4904
54:54.4,4903
55:24.4,4903
55:54.4,4903
56:24.4,4903
56:54.4,4903
57:24.4,4903
57:54.4,4903
58:24.4,4903
58:54.4,4903
59:24.4,4903
59:54.4,4902
00:24.4,4903
00:54.4,4903
01:24.4,4904
01:54.4,4903
02:24.4,4903
02:54.4,4903
03:24.4,4903
03:54.4,4903
04:24.4,4903
04:54.4,4903
05:24.4,4902
05:54.4,4902
06:24.4,4902
06:54.5,4902
07:24.4,4902
07:54.4,4902
08:24.4,4902
08:54.4,4902
09:24.5,4902
09:54.4,4902
10:24.5,4900
10:54.4,4902
11:24.5,4899
11:54.4,4901
12:24.5,4898
12:54.4,4900
13:24.5,4902
13:54.4,4903
14:24.5,4903
14:54.4,4903
15:24.5,4903
15:54.4,4903
16:24.5,4903
16:54.4,4903
17:24.5,4902
17:54.4,4902
18:24.5,4902
18:54.4,4902
19:24.5,4902
19:54.4,4902
20:24.5,4901
20:54.4,4902
21:24.5,4902
21:54.5,4901
22:24.5,4901
22:54.5,4902
23:24.5,4901
23:54.5,4901
24:24.5,4902
24:54.5,4902
25:24.5,4901
25:54.5,4902
26:24.5,4902
26:54.5,4902
27:24.5,4901
27:54.5,4902
28:24.5,4902
28:54.5,4903
29:24.5,4903
29:54.5,4902
30:24.5,4902
30:54.5,4902
31:24.5,4901
31:54.5,4901
32:24.5,4901
32:54.5,4901
33:24.5,4901
33:54.5,4900
34:24.5,4901
34:54.5,4901
35:24.5,4901
35:54.5,4900
36:24.5,4900
36:54.5,4900
37:24.5,4900
37:54.5,4900
38:24.5,4900
38:54.5,4900
39:24.5,4901
39:54.5,4901
40:24.5,4900
40:54.5,4900
41:24.5,4902
41:54.5,4901
42:24.5,4902
